draw_date,n1,n2,n3,n4,n5,source
1992-02-04,5,8,10,30,38,auto_csv_import:99_pre2001_backfill_full_history.csv
1992-02-06,2,9,12,18,21,auto_csv_import:99_pre2001_backfill_full_history.csv
1992-02-07,1,6,17,30,35,auto_csv_import:99_pre2001_backfill_full_history.csv
1992-02-11,9,10,13,14,23,auto_csv_import:99_pre2001_backfill_full_history.csv
1992-02-13,3,15,30,34,38,auto_csv_import:99_pre2001_backfill_full_history.csv
1992-02-14,4,8,18,23,39,auto_csv_import:99_pre2001_backfill_full_history.csv
1992-02-18,1,9,13,23,30,auto_csv_import:99_pre2001_backfill_full_history.csv
1992-02-20,6,16,17,37,38,auto_csv_import:99_pre2001_backfill_full_history.csv
1992-02-21,3,11,12,18,33,auto_csv_import:99_pre2001_backfill_full_history.csv
1992-02-25,10,11,17,24,27,auto_csv_import:99_pre2001_backfill_full_history.csv
1992-02-27,7,18,22,26,37,auto_csv_import:99_pre2001_backfill_full_history.csv
1992-02-28,9,10,31,34,39,auto_csv_import:99_pre2001_backfill_full_history.csv
1992-03-03,13,18,25,27,34,auto_csv_import:99_pre2001_backfill_full_history.csv
1992-03-05,2,7,12,15,32,auto_csv_import:99_pre2001_backfill_full_history.csv
1992-03-06,1,9,22,23,32,auto_csv_import:99_pre2001_backfill_full_history.csv
1992-03-10,12,15,23,25,27,auto_csv_import:99_pre2001_backfill_full_history.csv
1992-03-12,3,13,15,17,25,auto_csv_import:99_pre2001_backfill_full_history.csv
1992-03-13,1,19,29,35,37,auto_csv_import:99_pre2001_backfill_full_history.csv
1992-03-17,1,16,29,33,38,auto_csv_import:99_pre2001_backfill_full_history.csv
1992-03-19,5,18,27,32,37,auto_csv_import:99_pre2001_backfill_full_history.csv
1992-03-20,2,20,24,27,33,auto_csv_import:99_pre2001_backfill_full_history.csv
1992-03-24,5,21,33,36,38,auto_csv_import:99_pre2001_backfill_full_history.csv
1992-03-26,6,33,34,38,39,auto_csv_import:99_pre2001_backfill_full_history.csv
1992-03-27,8,14,21,29,38,auto_csv_import:99_pre2001_backfill_full_history.csv
1992-03-31,2,5,15,29,39,auto_csv_import:99_pre2001_backfill_full_history.csv
1992-04-02,4,9,10,19,21,auto_csv_import:99_pre2001_backfill_full_history.csv
1992-04-03,6,9,16,34,35,auto_csv_import:99_pre2001_backfill_full_history.csv
1992-04-07,17,25,26,31,39,auto_csv_import:99_pre2001_backfill_full_history.csv
1992-04-09,8,19,30,34,39,auto_csv_import:99_pre2001_backfill_full_history.csv
